icao,name
AKZ,AK Navigator LLC
ALB,Aero Albatros
ALC,Southern Jersey Airways
ALD,Albion Aviation
ALE,Aeroalas Colombia
ALF,Allied Command Europe (Mobile Force)
ALG,Air Logistics
ALJ,Heli Ambulance Team
ALK,SriLankan Airlines
ALL,Aerovallarta
ALM,Air ALM
ALN,Air Lincoln
ALO,Allegheny Commuter Airlines
ALP,Alpliner AG
ALQ,Altair Aviation (1986)
ALR,Lineas Aereas Alaire S.L.
ALS,Naka Nihon Airlines Service
ALU,Air Luxor STP
ALV,Alas de Venezuela
ALW,Alas Nacionales
ALX,Hewa Bora Airways
ALY,Alyeska Air Service
ALZ,Alta Flights (Charters) Ltd.
AMA,ATMA
AMB,Deutsche Rettungsflugwacht
AMC,Air Malta
AMD,Aerolineas Medellin
AME,Spanish Air Force
AMF,Ameriflight
AMG,Air Minas Linhas A
AMH,Alan Mann Helicopters Ltd.
AMI,Air Maldives
AMJ,Aviation Amos
AMK,Amerer Air
AML,Air Malawi
AMM,Aeroputul International Marculesti
AMN,Air Montenegro
AMO,Air Montreal (Air Holdings Inc.)
AMP,Aero Transporte S.A. (ATSA)
AMQ,Aeromedicare Ltd.
AMR,Air Specialties Corporation
AMS,Air Muskoka
AMT,ATA Airlines
AMU,Air Macau
AMV,AMC Airlines
AMW,Air Midwest
AMX,AeroMéxico
AMY,Air Ambar
AMZ,Amiya Airline
ANA,All Nippon Airways
ANB,Air Navigation And Trading Co. Ltd.
ANC,Anglo Cargo
AND,National Jet Service
ANE,Air Nostrum
ANG,Air Niugini
ANH,Alajnihah for Air Transport
ANI,Air Atlantic (Nig) Limited
ANK,Air Nippon
ANL,Nacoia Lda
ANM,Antares Airtransport
ANO,Airnorth
ANQ,Aerol
ANS,Andes Lineas Aereas
ANT,Air North Charter - Canada
ANU,Andalus Lineas Aereas
ANV,Air Nevada
ANW,Aviacion Del Noroeste
ANX,Secretaria de Marina
ANZ,Air New Zealand
AOA,Alcon Servicios Aereos
AOC,AVCOM
AOD,Aero Vodochody
AOE,Air One Executive
AOF,Atair Pty Ltd.
AOG,Aero VIP
AOI,Astoria
AOK,Aeroatlantico Colombia
AOL,Angkor Airlines
AOM,AOM French Airlines
AON,Aero Entreprise
AOO,As
AOP,Aeropiloto
AOR,Afro International Ent. Limited
AOS,Servicios Aerecs Del Sol
AOT,Asia Overnight Express
AOU,Air Tractor
AOV,Aero Vision
AOW,Air Andaman (2Y)
AOX,Aerotaxi Del Valle
APA,Air Park Aviation Ltd.
APC,Airpac Airlines
APD,Sabre Pacific
APE,Parcel Express
APF,Amapola Flyg AB
APG,Air People International
APH,Alpha Aviation
API,ASA Pesada
APJ,Air Print
APL,Appalachian Flying Service
APM,Airpac
APO,Aeropro
APP,Aerolineas Pacifico Atlantico
APQ,Aspen Aviation
APT,LAP Colombia - Lineas Aereas Petroleras
APU,Aeropuma
APV,Air Plan International
APW,Arrow Air
APX,Apex Air Cargo
APY,APA Internacional
AQA,Aeroatlas
AQL,Aquila Air Ltd.
AQN,Air Queensland
AQO,Aluminum Company Of America
AQT,Aviones de Renta de Quintana Roo
AQU,AirQuarius Aviation
AQZ,Aerodyne Charter Company
ARA,Arik Air
ARB,Avia Air N.V.
ARC,Air Routing International Corp.
ARD,Aerocondor
ARE,Aires
ARF,Aero Flight
ARG,Aerolineas Argentinas
ARH,Arrowhead Airways
ARI,Aero Vics
ARJ,Aerojet de Costa Rica
ARK,Aero Link Air Services S.L.
ARL,Airlec - Air Aquitaine Transport
ARM,Aeromarket Express
ARO,Arrow Aviation Ltd.
ARP,RPA-Aviataxi Ltd.
ARQ,Armstrong Air
ARR,Air Armenia
ARS,Aeromet Servicios
ART,Aerotal Aerolineas Territoriales de Colombia Ltda
ARU,Aruba Airlines
ARV,Aravco Ltd.
ARW,Aria
ARX,Air Xpress
ARY,Argosy Airways
ARZ,Air Resorts
ASA,Alaska Airlines
ASB,Air-Spray 1967 Ltd.
ASC,Air Star Corporation
ASD,Air Sinai
ASE,Airstars
ASF,Air Schefferville
ASG,African Star Airways (PTY) Ltd.
ASH,Mesa Airlines
ASI,Aerosun International
ASJ,Air Satellite
ASK,La Ronge Aviation Services
ASL,Air Serbia
ASM,Awesome Flight Services (PTY) Ltd.
ASN,Air and Sea Transport
ASO,Aero Slovakia
ASP,Airsprint
ASQ,Atlantic Southeast Airlines
ASR,All Star Airlines
ASS,Air Class
AST,Aerlineas Del Oeste
ASU,Compania Boliviana de Transporte Aereo Privado Aerosur
ASV,Astravia-Bissau Air Transports Ltd.
ASW,Air Southwest Ltd.
ASX,Air Special
ASY,Royal Australian Air Force
ASZ,Astrakhan Airlines
ATA,Air Transport Association
ATB,Atlantair Ltd.
ATC,Air Tanzania
ATD,Aerotours Dominicana
ATE,Atlantis Transportation Services
ATF,Compania Aerotecnicas Fotograficas
ATG,Aerotrans Airline
ATH,Air Travel Corp.
ATI,Aero-Tropics Air Services
ATJ,Air Traffic GmbH
ATK,AeroTACA
ATL,Aerocentral
ATM,Airlines Of Tasmania
ATN,Air Transport International
ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.
ATQ,Air Transport Schiphol
ATR,Atlas Airlines
ATS,Air Transport Service
ATT,Aer Turas
ATU,Atlant Aerobatics Ltd.
ATV,Avanti Air
ATW,Aero Trades (Western) Ltd.
ATX,Warwickshire Aerocentre Ltd.
AUA,Austrian Airlines
AUB,Augsburg Airways
AUC,Transaustralian Air Express
AUD,Audi Air
AUF,Augusta Air Luftfahrtunternehmen
AUH,Abu Dhabi Amiri Flight
AUI,Ukraine International Airlines
AUJ,Business Flight Salzburg
AUK,AUOS
AUL,Aeroflot-Nord
AUM,Air Atlantic Uruguay
AUN,Aviones Unidos
AUO,Empresa (Aero Uruguay)
AUP,Avia Business Group
AUR,Aurigny Air Services
AUS,Aus-Air
AUT,Austral Lineas Aereas
AUU,Aurora Aviation
AUX,Air Uganda International Ltd.
AUY,Aerolineas Uruguayas
AUZ,Australian Airlines
AVA,Avianca - Aerovias Nacionales de Colombia
AVB,Aviation Beaufort
AVD,Alamo Aviacion
AVE,Avensa
AVF,Aviair Aviation Ltd.
AVG,Air Falcon
AVH,AV8 Helicopters
AVJ,Avia Traffic Company
AVK,AV8 Helicopters
AVM,Aviacion Ejecutiva Mexicana
AVN,Air Vanuatu
AVO,Aviation at Work
AVP,Avcorp Registrations
AVQ,Aviation Services
AVR,Active Aero Charter
AVS,Avialsa T-35
AVT,Asia Avia Airlines
AVU,Avia Sud A
AVV,Airvantage Incorporated
AVW,Aviator Airways
AVX,Aviapaslauga
AVY,Aerovaradero
AVZ,Air Valencia
AWA,Asia Wings
AWB,Airways International
AWC,Titan Airways
AWD,Providence Aviation Services
AWE,America West Airlines
AWI,Air Wisconsin
AWJ,Sahel Airlines
AWK,Airwork
AWL,Australian Wetleasing
AWM,Asian Wings Airways
AWN,Air Niamey
AWO,Awood Air Ltd.
AWQ,Indonesia AirAsia
AWR,Arctic Wings And Rotors Ltd.
AWS,Arab Wings
AWT,Air West
AWU,Aeroline GmbH
AWV,Airwave Transport
AWW,Air Wales
AWY,Aeroway
AWZ,AirWest
AXB,Air India Express
AXC,Indochina Airlines
AXD,Air Express
AXE,Air Explore
AXF,Asian Express Airlines
AXH,Aeromexhaga
AXI,Aeron International Airlines
AXK,African Express Airways
AXL,Air Exel
AXM,AirAsia
AXN,Alexandair
AXP,Aeromax
AXQ,Action Airlines (Action Air Charter)
AXR,Axel Rent
AXS,Altus Airlines
AXV,Aviaxess
AXX,Avioimpex A.D.p.o.
AXY,Axis Airways
AXZ,Aereonautica militare
AYB,Belgian Army
AYD,Aladia Airlines
AYK,Aykavia Aircompany
AYM,Airman
AYN,Atlantic Airlines
AYR,Flight Training Europe
AYS,Awsaj Aviation Services
AYT,Ayeet Aviation & Tourism
AYU,Yuhi Air Lines
AYZ,Atlant-Soyuz Airlines
AZA,Alitalia
AZB,Azamat
AZE,Arcus-Air Logistic
AZF,Air Zermatt AG
AZG,Sakaviaservice
AZI,Azzurra Air
AZK,Azalhelikopter
AZL,Africa One
AZM,Aerocozumel
AZN,Amaszonas
AZP,Arizona Pacific Airways
AZQ,Silk Way Airlines
AZR,Zenith Air
AZS,Aviacon Zitotrans Air Company
AZT,Azimut
AZU,Azul
AZV,Azov Avia Airlines
AZW,Air Zimbabwe
AZX,Air Max Africa
AZY,Arizona Airways
AZZ,Azza Transport
BAA,Balkan Agro Aviation
BAB,Bahrain Air BSC (Closed)
BAC,BAC Leasing Limited
BAE,BAE Systems
BAF,Belgian Air Force
BAG,dba
BAH,The Amiri Flight
BAJ,Baker Aviation
BAK,Blackhawk Airways
BAL,Britannia Airways
BAM,Business Air Services
BAN,British Antarctic Survey
BAP,Trans International Express Aviation
BAR,Bradly Air (Charter) Services
BAS,Aero Services
BAT,Premiair
BAU,Bissau Airlines
BAV,Bay Aviation Ltd
BAW,British Airways
BAX,Best Aero Handling Ltd
BAY,Bayon Airlines
BAZ,BAE Systems Flight Training
BBA,Bannert Air
BBB,SwedJet Airways
BBC,Biman Bangladesh Airlines
BBD,Bluebird Cargo
BBE,Ababeel Aviation
BBG,Bluebird Airways (BZ)
BBL,IBM Euroflight Operations
BBO,Flybaboo
BBR,Santa Barbara Airlines
BBS,Beibars CJSC
BBT,Air Bashkortostan
BBV,Bravo Airlines
BBZ,Blue Bird Aviation
BCB,Carib Express
BCC,BusinessAir
BCF,BACH Flugbetriebsges
BCH,Phillips Air
BCI,Blue Islands
BCK,Priority Aviation Company
BCL,British Caribbean Airways
BCN,Ocean Air
BCR,British Charter
BCS,European Air Transport
BCT,BCT Aviation
BCV,Business Aviation Center
BCY,CityJet
BDA,Blue Dart Aviation
BDF,Bissau Discovery Flying Club
BDG,Mississippi State University
BDM,Air Bandama
BDN,DERA Boscombe Down
BDR,Badr Airlines
BDS,South Asian Airlines
BEA,Best Aviation Ltd
BEC,State Air Company Berkut
BED,Belgorod Aviation Enterprise
BEE,Flybe
BEF,Balear Express
BEH,Bel Air Helicopters
BEK,Berkut Air
BER,Air Berlin
BES,Aero Services Executive
BET,BETA - Brazilian Express Transportes Aereos
BEU,Bateleur Air
BEZ,Kingfisher Air Services
BFA,Presidence Du Faso
BFC,Basler Flight Service
BFF,Air Baffin
BFG,Bear Flight
BFL,Buffalo Airways
BFN,Compangnie Nationale Naganagani
BFO,Bombardier
BFR,Burkina Airlines
BFS,Business Flight Sweden
BFW,Bahrain Defence Force
BGA,Airbus Transport International
BGD,Air Bangladesh
BGF,Aviodetachment-28
BGG,Aero BG
BGH,BH Air
BGI,British Gulf International
BGK,British Gulf International-Fez
BGL,Benin Golf Air
BGM,Bugulma Air Enterprise
BGR,Budget Air Bangladesh
BGT,Bergen Air Transport
BGY,Bingo Airways
BHA,Buddha Air
BHC,Aerotaxis De La Bahia
BHI,Balkh Airlines
BHL,Bristow Helicopters
BHN,Bristow Helicopters Nigeria
BHO,Bhoja Airlines
BHP,Belair Airlines
BHR,Bighorn Airways
BHS,Bahamasair
BHT,Bright Air
BHV,Specavia Air Company
BHY,Bosphorus European Airways
BIB,Michelin Air Services
BID,Binair
BIE,Air Mediterranee
BIG,Big Island Air
BIH,British International Helicopters
BIL,Billund Air Center
BIN,Boise Interagency Fire Center
BIR,Bird Leasing
BIS,Irbis Air
BIV,Aviaservice
BIZ,Bizjet Ltd
BJA,Baja Air
BJC,Baltic Jet Aircompany
BJK,Atlantic Airlines
BJS,Business Jet Solutions
BJT,ACM Aviation
BKA,Bankair
BKF,BF-Lento OY
BKH,RAF Barkston Heath
BKJ,Barken International
BKL,Aircompany Barcol
BKP,Bangkok Airways
BKR,Civil Air Patrol South Carolina Wing
BKV,Bukovyna
BKY,Blue Sky America
BLA,All Charter Limited
BLB,Blue Bird Aviation
BLC,Bellesavia
BLE,Blue Line
BLF,Blue1
BLG,Belgavia
BLH,Blue Horizon Travel Club
BLI,Thyssen Krupp AG
BLJ,Blue Jet
BLK,Westcoast Energy
BLL,Baltic Airlines
